664e9d24 17c 90 38   Note On Ab2 43
b5d6fc21 90 4d 56   Note On F4 86

b5d6fc29 90 28 72   Note On E1 114

b5d6fc2a 90 44 3f   Note On Ab3 63
b5d6fc60 90 44 00   Note On(0-Off) Ab3

b5d6fc80 90 41 00   Note On(0-Off) F3
b5d6fcdf 90 4d 00   Note On(0-Off) F4
b5d6fe89 90 47 5f   Note On B3 95

b5d6fe94 90 2f 6b   Note On B1 107

b5d6fe96 90 4f 42   Note On G4 66

b5d6fe9a 90 4c 5e   Note On E4 94
b5d701d8 90 4c 00   Note On(0-Off) E4

b5d7021c 90 4f 00   Note On(0-Off) G4

b5d70220 90 47 00   Note On(0-Off) B3
b5d70279 90 2f 00   Note On(0-Off) B1

b5d7027f 90 28 00   Note On(0-Off) E1
b5d702ba 90 49 01   Note On C#4 1
b5d70356 90 4a 3d   Note On D4 61
b5d7037a 90 4a 00   Note On(0-Off) D4
b5d703d7 90 44 59   Note On Ab3 89

b5d703dc 90 47 72   Note On B3 114

b5d703dd 90 2c 70   Note On Ab1 112

b5d703de 90 4a 72   Note On D4 114

b5d703e3 90 49 00   Note On(0-Off) C#4
b5d70605 90 47 00   Note On(0-Off) B3
b5d7063a 90 44 00   Note On(0-Off) Ab3

b5d70673 90 4a 00   Note On(0-Off) D4
b5d706e5 90 44 40   Note On Ab3 64

b5d706eb 90 4d 67   Note On F4 103

b5d706ef 90 47 69   Note On B3 105

b5d706f1 90 4a 67   Note On D4 103
b5d70749 90 44 00   Note On(0-Off) Ab3

b5d7075b 90 2c 00   Note On(0-Off) Ab1

b5d70779 90 47 00   Note On(0-Off) B3
b5d70786 90 4a 00   Note On(0-Off) D4

b5d70789 90 4d 00   Note On(0-Off) F4
b5d70833 90 45 5e   Note On A3 94

b5d70834 90 48 67   Note On C4 103

b5d70835 90 2d 66   Note On A1 102
b5d70ad9 90 2d 00   Note On(0-Off) A1

b5d70b1d 90 45 00   Note On(0-Off) A3
b5d70b5d 90 48 00   Note On(0-Off) C4
b5d70c96 90 43 64   Note On G3 100

b5d70c9b 90 2e 72   Note On Bb1 114
b5d70d1c 90 46 64   Note On Bb3 100
b5d70d4d 90 43 00   Note On(0-Off) G3
b5d70e00 90 49 01   Note On C#4 1

b5d70e24 90 46 00   Note On(0-Off) Bb3
b5d70eea 90 4c 62   Note On E4 98
b5d70f8a 90 4c 00   Note On(0-Off) E4
b5d7105e 90 4f 79   Note On G4 121
b5d71117 90 52 64   Note On Bb4 100

b5d71117 90 4f 00   Note On(0-Off) G4
b5d7122c 90 55 6e   Note On C#5 110
b5d7125f 90 52 00   Note On(0-Off) Bb4
b5d712ed 90 55 00   Note On(0-Off) C#5

b5d712ed 90 58 70   Note On E5 112

b5d7137a 90 2e 00   Note On(0-Off) Bb1
b5d713fc 90 58 00   Note On(0-Off) E5

b5d713fc 90 4d 64   Note On F4 100

b5d7144b 90 26 0d   Note On D1 13

b5d7144b 90 51 14   Note On A4 20

b5d7144b 90 2d 60   Note On A1 96
b5d7145a 90 32 3e   Note On D2 62

b5d71465 90 26 00   Note On(0-Off) D1

b5d714b2 90 54 60   Note On C5 96

b5d714ba 90 32 00   Note On(0-Off) D2
b5d71562 90 59 4d   Note On F5 77

b5d71569 90 32 4f   Note On D2 79
b5d715e6 90 26 67   Note On D1 103
b5d7197d 90 26 00   Note On(0-Off) D1
b5d719ac 90 32 00   Note On(0-Off) D2

b5d719b8 90 2d 00   Note On(0-Off) A1
b5d71a9c 90 51 00   Note On(0-Off) A4

b5d71a9e 90 4d 00   Note On(0-Off) F4

b5d71aac 90 54 00   Note On(0-Off) C5
b5d71ab2 90 59 00   Note On(0-Off) F5

b5d71b07 90 4d 67   Note On F4 103

b5d71b0a 90 54 6d   Note On C5 109

b5d71b0c 90 59 67   Note On F5 103

b5d71b12 90 51 6d   Note On A4 109

b5d71b15 90 24 6e   Note On C1 110
b5d71b1c 90 30 4f   Note On C2 79

b5d71b1d 90 2b 66   Note On G1 102
b5d71f46 90 24 00   Note On(0-Off) C1
b5d71f6b 90 2b 00   Note On(0-Off) G1

b5d71f73 90 30 00   Note On(0-Off) C2
b5d72018 90 51 00   Note On(0-Off) A4

b5d7202f 90 4d 00   Note On(0-Off) F4

b5d72037 90 54 00   Note On(0-Off) C5
b5d72055 90 59 00   Note On(0-Off) F5
b5d721d0 90 54 6d   Note On C5 109

b5d721d5 90 59 69   Note On F5 105

b5d721d6 90 4d 64   Note On F4 100

b5d721d7 90 51 6d   Note On A4 109

b5d721da 90 2e 66   Note On Bb1 102

b5d721de 90 3a 64   Note On Bb2 100
b5d7277e 90 51 00   Note On(0-Off) A4
b5d727b5 90 54 00   Note On(0-Off) C5

b5d727d5 90 4d 00   Note On(0-Off) F4

b5d727df 90 59 00   Note On(0-Off) F5
b5d72875 90 54 67   Note On C5 103

b5d72877 90 59 5f   Note On F5 95

b5d7287b 90 51 6b   Note On A4 107

b5d7287d 90 4d 3a   Note On F4 58
b5d72881 90 3a 00   Note On(0-Off) Bb2

b5d72888 90 2e 00   Note On(0-Off) Bb1
b5d72a44 90 59 00   Note On(0-Off) F5

b5d72a6e 90 51 00   Note On(0-Off) A4
b5d72a7a 90 4d 00   Note On(0-Off) F4

b5d72a91 90 54 00   Note On(0-Off) C5
b5d72ae2 90 54 64   Note On C5 100

b5d72aec 90 51 67   Note On A4 103

b5d72af3 90 4d 59   Note On F4 89
b5d72cb5 90 59 67   Note On F5 103

b5d72cb9 90 58 66   Note On E5 102
b5d72cfb 90 58 00   Note On(0-Off) E5
b5d72d90 90 4d 00   Note On(0-Off) F4
b5d72daf 90 51 00   Note On(0-Off) A4

b5d72dd3 90 54 00   Note On(0-Off) C5

b5d72de6 90 59 00   Note On(0-Off) F5
b5d72e45 90 2b 5b   Note On G1 91

b5d72e48 90 32 59   Note On D2 89

b5d72e49 90 51 69   Note On A4 105

b5d72e4b 90 37 3f   Note On G2 63

b5d72e4e 90 59 67   Note On F5 103

b5d72e56 90 54 67   Note On C5 103

b5d72e58 90 53 6b   Note On B4 107
b5d72e87 90 53 00   Note On(0-Off) B4
b5d73220 90 51 00   Note On(0-Off) A4

b5d73231 90 54 00   Note On(0-Off) C5

b5d73251 90 59 00   Note On(0-Off) F5
b5d732b5 90 53 64   Note On B4 100

b5d732b8 90 56 7b   Note On D5 123

b5d732bd 90 5b 6b   Note On G5 107
b5d735d2 90 32 00   Note On(0-Off) D2

b5d735dc 90 2b 00   Note On(0-Off) G1
b5d735e5 90 37 00   Note On(0-Off) G2
b5d7382a 90 53 00   Note On(0-Off) B4
b5d738a9 90 58 60   Note On E5 96

b5d738b0 90 5b 00   Note On(0-Off) G5

b5d738ef 90 54 4b   Note On C5 75
b5d7390e 90 58 00   Note On(0-Off) E5

b5d73913 90 53 67   Note On B4 103

b5d7392c 90 56 00   Note On(0-Off) D5

b5d73931 90 51 6b   Note On A4 107

b5d7394f 90 54 00   Note On(0-Off) C5

b5d73956 90 4f 52   Note On G4 82

b5d7396e 90 53 00   Note On(0-Off) B4
b5d73978 90 4d 49   Note On F4 73

b5d73992 90 51 00   Note On(0-Off) A4

b5d7399f 90 4c 34   Note On E4 52

b5d739b6 90 4f 00   Note On(0-Off) G4

b5d739c0 90 4a 3e   Note On D4 62
b5d739d8 90 4d 00   Note On(0-Off) F4

b5d739df 90 49 00   Note On(0-Off) C#4

b5d739e1 90 48 2f   Note On C4 47

b5d739fd 90 4c 00   Note On(0-Off) E4

b5d73a07 90 47 2f   Note On B3 47

b5d73a21 90 4a 00   Note On(0-Off) D4

b5d73a2c 90 45 28   Note On A3 40
b5d73a45 90 48 00   Note On(0-Off) C4

b5d73a4e 90 43 31   Note On G3 49

b5d73a65 90 47 00   Note On(0-Off) B3

b5d73a6e 90 41 36   Note On F3 54

b5d73a87 90 45 00   Note On(0-Off) A3

b5d73a8f 90 40 2b   Note On E3 43
b5d73aa7 90 43 00   Note On(0-Off) G3

b5d73aaf 90 3e 3e   Note On D3 62

b5d73ac6 90 41 00   Note On(0-Off) F3

b5d73ae7 90 40 00   Note On(0-Off) E3

b5d73afb 90 3b 3f   Note On B2 63

b5d73afc 90 3e 00   Note On(0-Off) D3
b5d73b08 90 3b 00   Note On(0-Off) B2
b5d73ea3 90 40 66   Note On E3 102

b5d73ea5 90 3e 69   Note On D3 105

b5d73eab 90 43 5e   Note On G3 94

b5d73ebd 90 24 76   Note On C1 118

b5d73ed4 90 32 4d   Note On D2 77

b5d73ed5 90 30 4d   Note On C2 77
b5d73f4f 90 32 00   Note On(0-Off) D2

b5d73f51 90 30 00   Note On(0-Off) C2
b5d73f64 90 3e 00   Note On(0-Off) D3

b5d73f85 90 40 00   Note On(0-Off) E3

b5d73f9f 90 43 00   Note On(0-Off) G3
b5d73fca 90 24 00   Note On(0-Off) C1
b5d74120 90 3e 64   Note On D3 100

b5d74123 90 43 56   Note On G3 86

b5d74124 90 40 5b   Note On E3 91
b5d7420d 90 40 00   Note On(0-Off) E3

b5d74223 90 43 00   Note On(0-Off) G3
b5d7422f 90 3e 00   Note On(0-Off) D3
b5d742b9 90 30 6b   Note On C2 107
b5d7433d 90 30 00   Note On(0-Off) C2
b5d7437d 90 3e 64   Note On D3 100

b5d7437e 90 40 62   Note On E3 98

b5d7437f 90 43 60   Note On G3 96
b5d7442c 90 40 00   Note On(0-Off) E3

b5d74436 90 3e 00   Note On(0-Off) D3

b5d74444 90 43 00   Note On(0-Off) G3
b5d74623 90 3e 6e   Note On D3 110

b5d74626 90 43 67   Note On G3 103

b5d74627 90 40 6b   Note On E3 107
b5d746f8 90 40 00   Note On(0-Off) E3

b5d74705 90 43 00   Note On(0-Off) G3

b5d7470e 90 3e 00   Note On(0-Off) D3
b5d747c0 90 2f 6b   Note On B1 107
b5d7487e 90 2d 6b   Note On A1 107

b5d74894 90 2f 00   Note On(0-Off) B1

b5d748df 90 3e 62   Note On D3 98
b5d748e1 90 40 62   Note On E3 98

b5d748e3 90 43 5b   Note On G3 91
b5d7498e 90 2d 00   Note On(0-Off) A1

b5d74991 90 40 00   Note On(0-Off) E3

b5d74993 90 3e 00   Note On(0-Off) D3

b5d749aa 90 43 00   Note On(0-Off) G3
b5d74b56 90 3e 62   Note On D3 98

b5d74b58 90 43 60   Note On G3 96

b5d74b5b 90 40 5e   Note On E3 94

b5d74b5d 90 3c 7f   Note On C3 127
b5d74bef 90 3c 00   Note On(0-Off) C3
b5d74c1f 90 43 00   Note On(0-Off) G3

b5d74c2c 90 40 00   Note On(0-Off) E3

b5d74c3f 90 3e 00   Note On(0-Off) D3
b5d74d13 90 2d 76   Note On A1 118
b5d74de8 90 3e 6b   Note On D3 107

b5d74de9 90 40 69   Note On E3 105

b5d74dea 90 43 4d   Note On G3 77
b5d74e66 90 40 00   Note On(0-Off) E3

b5d74e67 90 3e 00   Note On(0-Off) D3
b5d74e6b 90 43 00   Note On(0-Off) G3
b5d74ede 90 2d 00   Note On(0-Off) A1
b5d75052 90 3e 6e   Note On D3 110

b5d75054 90 40 6d   Note On E3 109

b5d75058 90 43 5f   Note On G3 95
b5d75102 90 2d 4d   Note On A1 77
b5d75155 90 43 00   Note On(0-Off) G3

b5d7515e 90 40 00   Note On(0-Off) E3

b5d7516f 90 3e 00   Note On(0-Off) D3
b5d751b2 90 2b 64   Note On G1 100
b5d751f9 90 2d 00   Note On(0-Off) A1

b5d75212 90 29 64   Note On F1 100

b5d75257 90 2b 00   Note On(0-Off) G1
b5d75275 90 28 25   Note On E1 37

b5d752a2 90 29 00   Note On(0-Off) F1
b5d752e6 90 3e 5b   Note On D3 91

b5d752ed 90 41 67   Note On F3 103

b5d752f2 90 28 00   Note On(0-Off) E1

b5d752f4 90 45 6b   Note On A3 107

b5d752f6 90 26 72   Note On D1 114

b5d75305 90 43 64   Note On G3 100

b5d7531b 90 40 12   Note On E3 18
b5d75379 90 43 00   Note On(0-Off) G3
b5d7538c 90 45 00   Note On(0-Off) A3

b5d7539a 90 41 00   Note On(0-Off) F3

b5d7539d 90 3e 00   Note On(0-Off) D3

b5d7539e 90 40 00   Note On(0-Off) E3
b5d753f8 90 26 00   Note On(0-Off) D1
b5d7558f 90 3e 56   Note On D3 86

b5d75590 90 40 52   Note On E3 82

b5d75592 90 41 59   Note On F3 89

b5d75596 90 45 4d   Note On A3 77
b5d75640 90 41 00   Note On(0-Off) F3

b5d7564c 90 3e 00   Note On(0-Off) D3

b5d7564f 90 40 00   Note On(0-Off) E3

b5d75650 90 45 00   Note On(0-Off) A3
b5d7571b 90 26 64   Note On D1 100
b5d757de 90 28 6d   Note On E1 109

b5d757f4 90 26 00   Note On(0-Off) D1
b5d75824 90 40 62   Note On E3 98

b5d75827 90 45 44   Note On A3 68

b5d75828 90 41 60   Note On F3 96

b5d75829 90 3e 66   Note On D3 102
b5d7588f 90 40 00   Note On(0-Off) E3

b5d7589a 90 41 00   Note On(0-Off) F3

b5d7589b 90 3e 00   Note On(0-Off) D3

b5d7589c 90 45 00   Note On(0-Off) A3
b5d75a92 90 45 62   Note On A3 98

b5d75a93 90 40 64   Note On E3 100

b5d75a95 90 41 67   Note On F3 103

b5d75a97 90 3e 62   Note On D3 98
b5d75b17 90 40 00   Note On(0-Off) E3

b5d75b1f 90 41 00   Note On(0-Off) F3

b5d75b21 90 3e 00   Note On(0-Off) D3
b5d75b27 90 45 00   Note On(0-Off) A3
b5d75c33 90 29 60   Note On F1 96
b5d75c56 90 28 00   Note On(0-Off) E1
b5d75d2d 90 2b 69   Note On G1 105

b5d75d54 90 29 00   Note On(0-Off) F1
b5d75f9b 90 43 5e   Note On G3 94

b5d75f9c 90 45 60   Note On A3 96

b5d75f9d 90 3e 60   Note On D3 96

b5d75fa2 90 48 3f   Note On C4 63

b5d75fa3 90 47 40   Note On B3 64
b5d7601e 90 48 00   Note On(0-Off) C4

b5d76020 90 47 00   Note On(0-Off) B3

b5d76031 90 45 00   Note On(0-Off) A3
b5d76052 90 43 00   Note On(0-Off) G3

b5d7605c 90 2b 00   Note On(0-Off) G1

b5d76076 90 3e 00   Note On(0-Off) D3
b5d76151 90 2b 64   Note On G1 100
b5d76222 90 43 45   Note On G3 69

b5d76225 90 47 67   Note On B3 103

b5d7622c 90 41 3d   Note On F3 61

b5d7622c 90 3e 4f   Note On D3 79

b5d76234 90 41 00   Note On(0-Off) F3
b5d76418 90 43 00   Note On(0-Off) G3

b5d76421 90 47 00   Note On(0-Off) B3

b5d76440 90 3e 00   Note On(0-Off) D3

b5d76444 90 2b 00   Note On(0-Off) G1
b5d76492 90 43 60   Note On G3 96

b5d76496 90 3e 3e   Note On D3 62

b5d764a1 90 2b 67   Note On G1 103
b5d76662 90 43 00   Note On(0-Off) G3

b5d7669d 90 3e 00   Note On(0-Off) D3
b5d766ff 90 24 76   Note On C1 118

b5d76707 90 2b 00   Note On(0-Off) G1
b5d76977 90 40 60   Note On E3 96

b5d76978 90 3e 64   Note On D3 100

b5d76979 90 43 4d   Note On G3 77
b5d76a4d 90 40 00   Note On(0-Off) E3

b5d76a4f 90 43 00   Note On(0-Off) G3
b5d76a5c 90 3e 00   Note On(0-Off) D3

b5d76aa9 90 24 00   Note On(0-Off) C1
b5d76acd 90 28 64   Note On E1 100
b5d76e47 90 43 3e   Note On G3 62

b5d76e49 90 40 4f   Note On E3 79

b5d76e4b 90 3e 4b   Note On D3 75
b5d76f68 90 40 00   Note On(0-Off) E3

b5d76f76 90 43 00   Note On(0-Off) G3

b5d76f7b 90 3e 00   Note On(0-Off) D3
b5d77004 90 2b 38   Note On G1 56

b5d7700e 90 28 00   Note On(0-Off) E1
b5d770e6 90 24 7d   Note On C1 125
b5d77120 90 2b 00   Note On(0-Off) G1
b5d7738a 90 43 4b   Note On G3 75

b5d7738c 90 3e 52   Note On D3 82

b5d7738f 90 40 59   Note On E3 89
b5d77480 90 40 00   Note On(0-Off) E3

b5d7748f 90 43 00   Note On(0-Off) G3

b5d774a0 90 3e 00   Note On(0-Off) D3
b5d774f8 90 28 67   Note On E1 103
b5d77517 90 24 00   Note On(0-Off) C1
b5d7784e 90 43 45   Note On G3 69

b5d77854 90 3e 5b   Note On D3 91

b5d77856 90 40 52   Note On E3 82
b5d778eb 90 40 00   Note On(0-Off) E3
b5d77902 90 3e 00   Note On(0-Off) D3

b5d7790a 90 43 00   Note On(0-Off) G3

b5d77953 90 2b 60   Note On G1 96
b5d77969 90 28 00   Note On(0-Off) E1
b5d779fb 90 28 66   Note On E1 102
b5d77a53 90 2b 00   Note On(0-Off) G1

b5d77a5f 90 28 00   Note On(0-Off) E1
b5d77aee 90 2d 76   Note On A1 118
b5d77d62 90 40 64   Note On E3 100

b5d77d65 90 45 5f   Note On A3 95
b5d77e8a 90 40 00   Note On(0-Off) E3

b5d77e95 90 45 00   Note On(0-Off) A3

b5d77ec7 90 30 6d   Note On C2 109
b5d77ef2 90 2d 00   Note On(0-Off) A1
b5d78263 90 48 4f   Note On C4 79

b5d7826e 90 45 4b   Note On A3 75

b5d78277 90 40 40   Note On E3 64

b5d78278 90 47 4b   Note On B3 75
b5d7834e 90 40 00   Note On(0-Off) E3
b5d78384 90 45 00   Note On(0-Off) A3

b5d78384 90 47 00   Note On(0-Off) B3

b5d78384 90 34 5e   Note On E2 94

b5d783a9 90 48 00   Note On(0-Off) C4

b5d783b5 90 30 00   Note On(0-Off) C2
b5d78481 90 40 27   Note On E3 39
b5d78497 90 34 00   Note On(0-Off) E2

b5d784d1 90 40 00   Note On(0-Off) E3

b5d7852b 90 2d 67   Note On A1 103
b5d787b3 90 45 5e   Note On A3 94

b5d787b3 90 40 60   Note On E3 96
b5d788fa 90 30 67   Note On C2 103

b5d788fb 90 45 00   Note On(0-Off) A3

b5d788fb 90 40 00   Note On(0-Off) E3

b5d7890b 90 2d 00   Note On(0-Off) A1
b5d78b74 90 34 6e   Note On E2 110

b5d78b79 90 30 00   Note On(0-Off) C2
b5d78c5f 90 40 67   Note On E3 103

b5d78c5f 90 45 70   Note On A3 112
b5d78ddc 90 40 00   Note On(0-Off) E3

b5d78de0 90 32 5e   Note On D2 94

b5d78e06 90 34 00   Note On(0-Off) E2

b5d78e14 90 45 00   Note On(0-Off) A3
b5d78e91 90 32 00   Note On(0-Off) D2
b5d78f02 90 26 69   Note On D1 105
b5d78f06 90 28 72   Note On E1 114
b5d78fab 90 28 00   Note On(0-Off) E1
b5d79156 90 41 67   Note On F3 103

b5d7915a 90 45 64   Note On A3 100

b5d7915d 90 3e 4b   Note On D3 75
b5d791e9 90 41 00   Note On(0-Off) F3

b5d791f4 90 3e 00   Note On(0-Off) D3

b5d79206 90 45 00   Note On(0-Off) A3

b5d79226 90 26 00   Note On(0-Off) D1
b5d792c6 90 2d 70   Note On A1 112
b5d7934b 90 2d 00   Note On(0-Off) A1
b5d793bd 90 2d 62   Note On A1 98
b5d7943d 90 2d 00   Note On(0-Off) A1
b5d79626 90 45 5f   Note On A3 95

b5d79628 90 41 5e   Note On F3 94

b5d79629 90 3e 60   Note On D3 96
b5d796de 90 41 00   Note On(0-Off) F3

b5d796e4 90 3e 00   Note On(0-Off) D3
b5d796fc 90 45 00   Note On(0-Off) A3
b5d79774 90 2d 5e   Note On A1 94
b5d79889 90 26 60   Note On D1 96

b5d7988a 90 2d 00   Note On(0-Off) A1
b5d7999e 90 26 00   Note On(0-Off) D1
b5d79af4 90 41 5b   Note On F3 91

b5d79af5 90 3e 59   Note On D3 89

b5d79b00 90 39 64   Note On A2 100
b5d79b9f 90 3e 00   Note On(0-Off) D3
b5d79bb9 90 39 00   Note On(0-Off) A2

b5d79bbf 90 41 00   Note On(0-Off) F3
b5d79c73 90 2d 67   Note On A1 103
b5d79cf6 90 2d 00   Note On(0-Off) A1
b5d79d5a 90 2d 6b   Note On A1 107
b5d79e7a 90 2d 00   Note On(0-Off) A1

b5d79ec2 90 35 64   Note On F2 100

b5d79ec5 90 39 64   Note On A2 100

b5d79ec6 90 3e 64   Note On D3 100
b5d79f62 90 2d 5f   Note On A1 95

b5d79f87 90 39 00   Note On(0-Off) A2
b5d79fb0 90 3e 00   Note On(0-Off) D3

b5d79fb2 90 35 00   Note On(0-Off) F2
b5d7a005 90 2d 00   Note On(0-Off) A1

b5d7a057 90 35 47   Note On F2 71

b5d7a059 90 39 4b   Note On A2 75
b5d7a11d 90 2d 4f   Note On A1 79
b5d7a131 90 39 00   Note On(0-Off) A2

b5d7a133 90 35 00   Note On(0-Off) F2
b5d7a1e1 90 2d 00   Note On(0-Off) A1
b5d7a206 90 2b 70   Note On G1 112

b5d7a250 90 37 56   Note On G2 86

b5d7a255 90 3b 6d   Note On B2 109
b5d7a3b7 90 3b 00   Note On(0-Off) B2

b5d7a3e4 90 37 00   Note On(0-Off) G2
b5d7a406 90 2b 00   Note On(0-Off) G1
b5d7a48c 90 3b 6b   Note On B2 107

b5d7a48e 90 37 64   Note On G2 100

b5d7a491 90 2b 67   Note On G1 103
b5d7a5f2 90 37 00   Note On(0-Off) G2

b5d7a5fd 90 3b 00   Note On(0-Off) B2
b5d7a691 90 2b 00   Note On(0-Off) G1
b5d7a6fb 90 39 5b   Note On A2 91

b5d7a709 90 2d 72   Note On A1 114

b5d7a70a 90 3c 7f   Note On C3 127
b5d7a852 90 39 00   Note On(0-Off) A2

b5d7a854 90 2d 00   Note On(0-Off) A1
b5d7a872 90 3c 00   Note On(0-Off) C3
b5d7a965 90 39 64   Note On A2 100

b5d7a966 90 2d 6e   Note On A1 110

b5d7a967 90 3c 7f   Note On C3 127
b5d7aa9a 90 39 00   Note On(0-Off) A2

b5d7aac3 90 3c 00   Note On(0-Off) C3
b5d7ab31 90 2d 00   Note On(0-Off) A1
b5d7abb0 90 3e 67   Note On D3 103

b5d7abb2 90 3b 70   Note On B2 112

b5d7abb5 90 2f 6d   Note On B1 109
b5d7acee 90 3b 00   Note On(0-Off) B2

b5d7ad21 90 3e 00   Note On(0-Off) D3
b5d7ad53 90 2f 00   Note On(0-Off) B1
b5d7ae1d 90 3b 72   Note On B2 114

b5d7ae1f 90 37 67   Note On G2 103

b5d7ae25 90 2b 72   Note On G1 114
b5d7b06e 90 3b 00   Note On(0-Off) B2

b5d7b070 90 2d 70   Note On A1 112

b5d7b080 90 39 67   Note On A2 103

b5d7b08a 90 3c 7f   Note On C3 127

b5d7b097 90 2b 00   Note On(0-Off) G1
b5d7b10b 90 37 00   Note On(0-Off) G2
b5d7b266 90 39 00   Note On(0-Off) A2

b5d7b289 90 3c 00   Note On(0-Off) C3
b5d7b2f6 90 2f 6b   Note On B1 107

b5d7b2f6 90 3e 64   Note On D3 100

b5d7b2f7 90 2d 00   Note On(0-Off) A1

b5d7b2f7 90 3b 6d   Note On B2 109
b5d7b485 90 3b 00   Note On(0-Off) B2

b5d7b4a7 90 3e 00   Note On(0-Off) D3
b5d7b541 90 29 67   Note On F1 103
b5d7b54f 90 39 56   Note On A2 86

b5d7b553 90 3c 7f   Note On C3 127

b5d7b554 90 41 69   Note On F3 105

b5d7b55f 90 2f 00   Note On(0-Off) B1
b5d7b6de 90 3c 00   Note On(0-Off) C3
b5d7b6f0 90 39 00   Note On(0-Off) A2

b5d7b710 90 41 00   Note On(0-Off) F3
b5d7b78c 90 41 64   Note On F3 100

b5d7b792 90 3c 7f   Note On C3 127

b5d7b794 90 39 60   Note On A2 96
b5d7b8e7 90 2d 6b   Note On A1 107

b5d7b914 90 29 00   Note On(0-Off) F1

b5d7b92e 90 41 00   Note On(0-Off) F3

b5d7b930 90 40 66   Note On E3 102
b5d7ba39 90 3c 00   Note On(0-Off) C3
b5d7bad8 90 39 00   Note On(0-Off) A2

b5d7badc 90 40 00   Note On(0-Off) E3
b5d7bb34 90 39 62   Note On A2 98

b5d7bb37 90 3c 7f   Note On C3 127
b5d7bc21 90 30 70   Note On C2 112

b5d7bc44 90 2d 00   Note On(0-Off) A1
b5d7be98 90 29 67   Note On F1 103

b5d7beb6 90 30 00   Note On(0-Off) C2
b5d7c059 90 3c 00   Note On(0-Off) C3

b5d7c061 90 39 00   Note On(0-Off) A2
b5d7c0d0 90 39 3e   Note On A2 62

b5d7c0d8 90 3c 7f   Note On C3 127

b5d7c0d9 90 41 49   Note On F3 73
b5d7c24c 90 30 49   Note On C2 73

b5d7c24d 90 39 00   Note On(0-Off) A2

b5d7c253 90 29 00   Note On(0-Off) F1

b5d7c254 90 3c 00   Note On(0-Off) C3
b5d7c295 90 41 00   Note On(0-Off) F3
b5d7c32b 90 40 59   Note On E3 89

b5d7c32d 90 3c 7f   Note On C3 127

b5d7c32f 90 39 5b   Note On A2 91
b5d7c45a 90 40 00   Note On(0-Off) E3

b5d7c460 90 3c 00   Note On(0-Off) C3
b5d7c4b6 90 39 00   Note On(0-Off) A2
b5d7c57a 90 3b 64   Note On B2 100

b5d7c57b 90 2d 67   Note On A1 103

b5d7c57e 90 37 52   Note On G2 82

b5d7c584 90 3e 5f   Note On D3 95

b5d7c5ad 90 30 00   Note On(0-Off) C2
b5d7c6b0 90 3b 00   Note On(0-Off) B2

b5d7c6ce 90 37 00   Note On(0-Off) G2

b5d7c6dc 90 3e 00   Note On(0-Off) D3

b5d7c708 90 37 3c   Note On G2 60

b5d7c70a 90 3c 7f   Note On C3 127

b5d7c70b 90 40 4b   Note On E3 75
b5d7c797 90 2d 00   Note On(0-Off) A1
b5d7c81a 90 24 7e   Note On C1 126
b5d7ca76 90 2b 5e   Note On G1 94

b5d7caa3 90 40 00   Note On(0-Off) E3

b5d7caa6 90 37 00   Note On(0-Off) G2

b5d7caa8 90 24 00   Note On(0-Off) C1
b5d7caad 90 3c 00   Note On(0-Off) C3
b5d7cbcc 90 28 72   Note On E1 114
b5d7cbec 90 2b 00   Note On(0-Off) G1
b5d7cf44 90 2b 44   Note On G1 68

b5d7cf5a 90 28 00   Note On(0-Off) E1
b5d7d00b 90 28 5e   Note On E1 94
b5d7d04e 90 2b 00   Note On(0-Off) G1

b5d7d08c 90 29 4b   Note On F1 75
b5d7d0be 90 28 00   Note On(0-Off) E1
b5d7d11a 90 29 00   Note On(0-Off) F1

b5d7d136 90 24 7b   Note On C1 123
b5d7d3c6 90 37 4d   Note On G2 77

b5d7d3cf 90 40 56   Note On E3 86
b5d7d599 90 37 00   Note On(0-Off) G2

b5d7d5cc 90 40 00   Note On(0-Off) E3
b5d7d61d 90 3b 6b   Note On B2 107

b5d7d61e 90 26 69   Note On D1 105

b5d7d61f 90 37 56   Note On G2 86

b5d7d623 90 3e 70   Note On D3 112
b5d7d648 90 24 00   Note On(0-Off) C1
b5d7d833 90 3b 00   Note On(0-Off) B2
b5d7d872 90 28 6d   Note On E1 109

b5d7d884 90 3e 00   Note On(0-Off) D3
b5d7d89f 90 26 00   Note On(0-Off) D1
b5d7da3e 90 37 00   Note On(0-Off) G2

b5d7da59 90 28 00   Note On(0-Off) E1
b5d7dab4 90 29 69   Note On F1 105

b5d7dabb 90 39 64   Note On A2 100

b5d7dabd 90 35 66   Note On F2 102
b5d7dc61 90 35 00   Note On(0-Off) F2
b5d7dca4 90 39 00   Note On(0-Off) A2
b5d7dd2e 90 2d 67   Note On A1 103

